기준_년분기_코드,행정동코드,통합_카테고리,sales_sum,sales_mean,sales_count,store_count,pop_sum,pop_mean,pop_count,행정동명
20251,11110550,패스트푸드/치킨,40828947,40828947.0,1,0,902967,902967.0,1,부암동
20251,11110550,편의점,605666341,605666341.0,1,22,902967,902967.0,1,부암동
20251,11110550,한식,738832167,738832167.0,1,27,902967,902967.0,1,부암동
20251,11110560,B2B 서비스,54163333,54163333.0,1,216,901766,901766.0,1,평창동
20251,11110560,미용실,98462890,98462890.0,1,29,901766,901766.0,1,평창동
20251,11110560,분식/간식,497903530,248951765.0,2,24,901766,901766.0,1,평창동
20251,11110560,뷰티/화장품,33157895,33157895.0,1,9,901766,901766.0,1,평창동
20251,11110560,생활용품 소매,7281736,7281736.0,1,67,901766,901766.0,1,평창동
20251,11110560,수리/세탁,107544573,107544573.0,1,11,901766,901766.0,1,평창동
20251,11110560,숙박,50519180,50519180.0,1,5,901766,901766.0,1,평창동
20251,11110560,스포츠 강습,347260159,347260159.0,1,0,901766,901766.0,1,평창동
20251,11110560,식품 소매,1377970644,688985322.0,2,13,901766,901766.0,1,평창동
20251,11110560,애완동물,494296,494296.0,1,1,901766,901766.0,1,평창동
20251,11110560,양식/기타외식,79164017,79164017.0,1,7,901766,901766.0,1,평창동
20251,11110560,예술학원,6000000,6000000.0,1,30,901766,901766.0,1,평창동
20251,11110560,의료/약국,820349923,205087480.75,4,18,901766,901766.0,1,평창동
20251,11110560,의류/패션,54168393,54168393.0,1,25,901766,901766.0,1,평창동
20251,11110560,일반학원,522073420,522073420.0,1,29,901766,901766.0,1,평창동
20251,11110560,일식,42133692,42133692.0,1,5,901766,901766.0,1,평창동
20251,11110560,주점,251121270,251121270.0,1,16,901766,901766.0,1,평창동
20251,11110560,카페,241758461,241758461.0,1,0,901766,901766.0,1,평창동
20251,11110560,패스트푸드/치킨,107404913,107404913.0,1,0,901766,901766.0,1,평창동
20251,11110560,편의점,508465452,508465452.0,1,24,901766,901766.0,1,평창동
20251,11110560,한식,2324501966,2324501966.0,1,49,901766,901766.0,1,평창동
20251,11110570,미용실,62099449,62099449.0,1,9,1725058,1725058.0,1,무악동
20251,11110570,분식/간식,374436898,187218449.0,2,14,1725058,1725058.0,1,무악동
20251,11110570,식품 소매,933677288,933677288.0,1,4,1725058,1725058.0,1,무악동
20251,11110570,예술학원,3570306,3570306.0,1,8,1725058,1725058.0,1,무악동
20251,11110570,의료/약국,4387979422,2193989711.0,2,5,1725058,1725058.0,1,무악동
20251,11110570,일반학원,1452055,1452055.0,1,11,1725058,1725058.0,1,무악동
20251,11110570,주점,55838792,55838792.0,1,2,1725058,1725058.0,1,무악동
20251,11110570,카페,54907598,54907598.0,1,0,1725058,1725058.0,1,무악동
20251,11110570,패스트푸드/치킨,32748810,32748810.0,1,0,1725058,1725058.0,1,무악동
20251,11110570,편의점,725109343,725109343.0,1,9,1725058,1725058.0,1,무악동
20251,11110570,한식,594919981,594919981.0,1,10,1725058,1725058.0,1,무악동
20251,11110580,미용실,20682818,20682818.0,1,14,4219937,4219937.0,1,교남동
20251,11110580,분식/간식,179638388,89819194.0,2,25,4219937,4219937.0,1,교남동
20251,11110580,뷰티/화장품,20000000,20000000.0,1,14,4219937,4219937.0,1,교남동
20251,11110580,스포츠 강습,71346609,71346609.0,1,0,4219937,4219937.0,1,교남동
20251,11110580,식품 소매,566166180,566166180.0,1,7,4219937,4219937.0,1,교남동
20251,11110580,의료/약국,4839289770,967857954.0,5,16,4219937,4219937.0,1,교남동
20251,11110580,일반학원,143201548,143201548.0,1,18,4219937,4219937.0,1,교남동
20251,11110580,일식,281881096,281881096.0,1,3,4219937,4219937.0,1,교남동
20251,11110580,중식,515705031,515705031.0,1,4,4219937,4219937.0,1,교남동
20251,11110580,카페,138569813,138569813.0,1,0,4219937,4219937.0,1,교남동
20251,11110580,패스트푸드/치킨,69340261,34670130.5,2,0,4219937,4219937.0,1,교남동
20251,11110580,편의점,452006774,452006774.0,1,12,4219937,4219937.0,1,교남동
20251,11110580,한식,2067857380,2067857380.0,1,18,4219937,4219937.0,1,교남동
20251,11110600,미용실,59474894,59474894.0,1,7,1222404,1222404.0,1,가회동
20251,11110600,분식/간식,1230730109,615365054.5,2,45,1222404,1222404.0,1,가회동
20251,11110600,생활용품 소매,378497669,126165889.66666667,3,68,1222404,1222404.0,1,가회동
20251,11110600,스포츠 강습,341011675,341011675.0,1,0,1222404,1222404.0,1,가회동
20251,11110600,식품 소매,663180483,331590241.5,2,12,1222404,1222404.0,1,가회동
20251,11110600,양식/기타외식,3399085054,3399085054.0,1,23,1222404,1222404.0,1,가회동
20251,11110600,오락/유흥,19034888,19034888.0,1,8,1222404,1222404.0,1,가회동
20251,11110600,의료/약국,153650175,76825087.5,2,7,1222404,1222404.0,1,가회동
20251,11110600,의류/패션,236616867,118308433.5,2,48,1222404,1222404.0,1,가회동
20251,11110600,일반학원,129000000,129000000.0,1,10,1222404,1222404.0,1,가회동
20251,11110600,일식,910497360,910497360.0,1,7,1222404,1222404.0,1,가회동
20251,11110600,주점,1598142345,1598142345.0,1,13,1222404,1222404.0,1,가회동
20251,11110600,카페,4495728193,4495728193.0,1,0,1222404,1222404.0,1,가회동
20251,11110600,패스트푸드/치킨,235519447,117759723.5,2,0,1222404,1222404.0,1,가회동
20251,11110600,편의점,754221286,754221286.0,1,22,1222404,1222404.0,1,가회동
20251,11110600,한식,8542696816,8542696816.0,1,64,1222404,1222404.0,1,가회동
20251,11110615,B2B 서비스,1144019476,572009738.0,2,1838,13650465,13650465.0,1,종로1?2?3?4가동
20251,11110615,미용실,373568998,373568998.0,1,102,13650465,13650465.0,1,종로1?2?3?4가동
