기준_년분기_코드,행정동코드,통합카테고리,당월매출합,매출_20대합,행정동명,총유동인구,유동_20대,점포수,행정동_전체매출,행정동_전체점포수,업종_점포당매출,업종_매출점유율,업종_포화도,경쟁강도,매출_20대비율,유동_20대비율,MZ_차이,유동대비매출,점포대비유동
20251,11110515,B2B 서비스,268180168,848886,청운효자동,3322244,442023,256,23027279079,828,1047578.78125,0.011646194371464845,0.30917874396135264,7.705635106873547e-05,0.003165357104258358,0.13304952917365492,-0.12988417206939656,80.72259834015804,12977.515625
20251,11110515,미용실,261655455,18201326,청운효자동,3322244,442023,24,23027279079,828,10902310.625,0.01136284726051806,0.028985507246376812,7.22403291269395e-06,0.06956218818369371,0.13304952917365492,-0.06348734098996121,78.75865077941295,138426.83333333334
20251,11110515,분식/간식,876235565,130438123,청운효자동,3322244,442023,40,23027279079,828,21905889.125,0.03805206694172971,0.04830917874396135,1.2040054854489916e-05,0.14886193645883342,0.13304952917365492,0.015812407285178492,263.7481067013741,83056.1
20251,11110515,뷰티/화장품,18740937,0,청운효자동,3322244,442023,12,23027279079,828,1561744.75,0.0008138580739697996,0.014492753623188406,3.612016456346975e-06,0.0,0.13304952917365492,-0.13304952917365492,5.641047737613492,276853.6666666667
20251,11110515,생활용품 소매,4485007089,2128861032,청운효자동,3322244,442023,69,23027279079,828,65000102.73913044,0.19476930268718354,0.08333333333333333,2.0769094623995106e-05,0.47466168720697866,0.13304952917365492,0.34161215803332373,1349.9932843584036,48148.463768115944
20251,11110515,수리/세탁,75116063,2264792,청운효자동,3322244,442023,13,23027279079,828,5778158.692307692,0.0032620468420215126,0.01570048309178744,3.913017827709223e-06,0.030150568460969526,0.13304952917365492,-0.1028989607126854,22.61003797433301,255557.23076923078
20251,11110515,스포츠 강습,86794998,0,청운효자동,3322244,442023,0,23027279079,828,86794998.0,0.0037692250874378696,0.0,0.0,0.0,0.13304952917365492,-0.13304952917365492,26.125413425383567,3322244.0
20251,11110515,식품 소매,3283641614,129949780,청운효자동,3322244,442023,27,23027279079,828,121616356.07407407,0.14259789889785787,0.03260869565217391,8.127037026780695e-06,0.03957489740839909,0.13304952917365492,-0.09347463176525583,988.3806288761451,123046.07407407407
20251,11110515,양식/기타외식,2217678995,442151977,청운효자동,3322244,442023,41,23027279079,828,54089731.585365854,0.09630660172188726,0.049516908212560384,1.2341056225852164e-05,0.19937600437073175,0.13304952917365492,0.06632647519707682,667.5244187362517,81030.34146341463
20251,11110515,의료/약국,1273577414,42703821,청운효자동,3322244,442023,9,23027279079,828,141508601.55555555,0.05530733395077728,0.010869565217391304,2.7090123422602313e-06,0.033530604838442904,0.13304952917365492,-0.09951892433521202,383.3485481499854,369138.22222222225
20251,11110515,의류/패션,606997028,62995326,청운효자동,3322244,442023,78,23027279079,828,7782013.179487179,0.0263599110393185,0.09420289855072464,2.347810696625534e-05,0.10378193482687036,0.13304952917365492,-0.029267594346784567,182.7069378408088,42592.8717948718
20251,11110515,일반학원,226559003,0,청운효자동,3322244,442023,29,23027279079,828,7812379.413793104,0.009838722248631327,0.035024154589371984,8.72903976950519e-06,0.0,0.13304952917365492,-0.13304952917365492,68.19457059746364,114560.13793103448
20251,11110515,일식,215368672,57549637,청운효자동,3322244,442023,18,23027279079,828,11964926.222222222,0.009352762489269,0.021739130434782608,5.418024684520463e-06,0.2672145231967628,0.13304952917365492,0.1341649940231079,64.82626562046617,184569.11111111112
20251,11110515,주점,124015527,23217312,청운효자동,3322244,442023,31,23027279079,828,4000500.870967742,0.005385591870170081,0.03743961352657005,9.331042512229686e-06,0.18721294471457595,0.13304952917365492,0.05416341554092102,37.32884369721189,107169.16129032258
20251,11110515,카페,4535266422,1003302143,청운효자동,3322244,442023,76,23027279079,828,59674558.184210524,0.19695190241282087,0.09178743961352658,2.2876104223530843e-05,0.22122231631930356,0.13304952917365492,0.08817278714564863,1365.1214125151555,43713.73684210526
20251,11110515,패스트푸드/치킨,109093937,12761027,청운효자동,3322244,442023,7,23027279079,828,15584848.142857144,0.004737595641488078,0.008454106280193236,2.1070095995357353e-06,0.11697283415484401,0.13304952917365492,-0.016076695018810913,32.83742464430668,474606.28571428574
20251,11110515,편의점,979543491,115674722,청운효자동,3322244,442023,27,23027279079,828,36279388.55555555,0.04253839490282229,0.03260869565217391,8.127037026780695e-06,0.11809044015177883,0.13304952917365492,-0.014959089021876093,294.84393409996375,123046.07407407407
20251,11110515,한식,3383806701,343638172,청운효자동,3322244,442023,71,23027279079,828,47659249.30985916,0.1469477435606321,0.08574879227053141,2.1371097366719602e-05,0.10155372406421628,0.13304952917365492,-0.03149580510943864,1018.530457425764,46792.16901408451
20251,11110530,B2B 서비스,355246339,907520,사직동,3978820,604573,735,94427981856,2363,483328.3523809524,0.0037620875932913678,0.3110452814219213,0.0001847281354773526,0.002554621681829633,0.15194781367340066,-0.14939319199157103,89.28434535867417,5413.360544217687
20251,11110530,미용실,340158182,25773419,사직동,3978820,604573,62,94427981856,2363,5486422.29032258,0.0036023027847691545,0.026237833262801522,1.5582509387205252e-05,0.0757689227066718,0.15194781367340066,-0.07617889096672885,85.49222684112375,64174.51612903226
20251,11110530,분식/간식,4001518681,486624107,사직동,3978820,604573,97,94427981856,2363,41252769.9072165,0.04237640794973468,0.04104951333051206,2.4379087267079185e-05,0.12160985510590948,0.15194781367340066,-0.030337958567491177,1005.704877576769,41018.762886597935
20251,11110530,뷰티/화장품,2618941089,237584716,사직동,3978820,604573,45,94427981856,2363,58198690.86666667,0.027734798917907734,0.019043588658484975,1.1309885845552199e-05,0.09071785424952718,0.15194781367340066,-0.06122995942387348,658.2205500625814,88418.22222222222
20251,11110530,생활용품 소매,2492775298,182419948,사직동,3978820,604573,110,94427981856,2363,22661593.618181817,0.026398692940418994,0.04655099449851883,2.764638762246093e-05,0.07317945911384749,0.15194781367340066,-0.07876835455955317,626.5112013109415,36171.09090909091
20251,11110530,수리/세탁,28857994,513584,사직동,3978820,604573,14,94427981856,2363,2061285.2857142857,0.0003056085011327217,0.005924672027084215,3.518631151949573e-06,0.017796940424895786,0.15194781367340066,-0.13415087324850486,7.252902619369562,284201.4285714286
20251,11110530,숙박,50547822,9028054,사직동,3978820,604573,46,94427981856,2363,1098865.6956521738,0.0005353055419217155,0.01946677951756242,1.1561216642120025e-05,0.17860421364940313,0.15194781367340066,0.02665639997600247,12.704224368028711,86496.08695652174
20251,11110530,스포츠 강습,943025246,56314444,사직동,3978820,604573,0,94427981856,2363,943025246.0,0.009986713974657288,0.0,0.0,0.059716793626540934,0.15194781367340066,-0.09223102004685972,237.01128626075067,3978820.0
20251,11110530,스포츠/레저,1392160765,159331005,사직동,3978820,604573,29,94427981856,2363,48005543.62068965,0.014743095612516698,0.012272534913245875,7.288593100466973e-06,0.11444871095760266,0.15194781367340066,-0.037499102715798,349.8928740179249,137200.6896551724
